,Column_name,Data_Type,Null_count,isnull,Null_percent,Non_num,count,mean,std,min,25%,50%,75%,max
0,emp_title,object,833,T,8.33,T,,,,,,,,
1,emp_length,float64,817,T,8.17,F,9183.0,5.930306000217794,3.7037336245930694,0.0,2.0,6.0,10.0,10.0
6,debt_to_income,float64,24,T,0.24,F,9976.0,19.308191659983976,15.004851306313055,0.0,11.057500000000001,17.57,25.0025,469.09
7,annual_income_joint,float64,8505,T,85.05,F,1495.0,127914.57124414716,70168.37540366479,19200.0,86833.5,113000.0,151545.5,1100000.0
8,verification_income_joint,object,8545,T,85.45,T,,,,,,,,
9,debt_to_income_joint,float64,8505,T,85.05,F,1495.0,19.979304347826112,8.054781300042475,0.32,14.16,19.72,25.5,39.98
11,months_since_last_delinq,float64,5658,T,56.58,F,4342.0,36.76070935052971,21.634938814801412,1.0,19.0,34.0,53.0,118.0
20,months_since_90d_late,float64,7715,T,77.15,F,2285.0,46.112472647702404,21.748020568678538,2.0,29.0,47.0,63.0,128.0
25,months_since_last_credit_inquiry,float64,1271,T,12.71,F,8729.0,7.340703402451598,5.981589805359118,0.0,2.0,6.0,11.0,24.0
27,num_accounts_120d_past_due,float64,318,T,3.18,F,9682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
